Description,From (Problem),From (Variation),To (Problem),To (Variation),Reduction ID,Type,Randomized?,Calls,Time Complexity,Space Complexity,Model,Assumption/Hypothesis,Reduction Blow Up,Implications,Implied lower bound power,References,Link,Year,Preserves,Notes,,
For directed graphs only,Vertex Centrality,Reach Centrality,Graph Metrics,Diameter,156,Subcubic equivalence,,,,,,APSP Hypothesis,,"if: to-time: $\tilde{O}(T(n,m,M))$ for $n$-node $m$-edge directed graph with integer weights in $[-M,M]$
then: from-time: $\tilde{O}(T(n,m,M))$ for $n$-node $m$-edge directed graph with integer weights in $[-M,M]$",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 3.2",2015,,,,
,Graph Metrics,Diameter,Vertex Centrality,Positive Betweenness Centrality,157,,,,,,,APSP Hypothesis,,"if: to-time: $\tilde{O}(T(n,m))$ for $n$-node $m$-edge directed (resp. undirected) graph
then: from-time: $\tilde{O}(T(n,m))$ for $n$-node $m$-edge directed (resp. undirected) graph",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 4.1",2015,,,,
,Vertex Centrality,Positive Betweenness Centrality,Graph Metrics,Diameter,158,,,,,,,APSP Hypothesis,,"if: to-time: $\tilde{O}(T(n,m,M))$ for $n$-node $m$-edge directed (resp. undirected) graph with integer weights in $[-M,M]$
then: from-time: $\tilde{O}(T(n,m,M))$ for $n$-node $m$-edge directed (resp. undirected) graph with integer weights in $[-M,M]$",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 4.2",2015,,,,
,Vertex Centrality,Reach Centrality,Vertex Centrality,Positive Betweenness Centrality,159,,,,,,,,,"if: to-time: $\tilde{O}(T(n,m))$ for $n$-node $m$-edge directed (resp. undirected) graph
then: from-time: $\tilde{O}(T(n,m))$ for $n$-node $m$-edge directed (resp. undirected) graph",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 4.3",2015,,,,
,Graph Triangle Problems,Negative Triangle Detection,Vertex Centrality,All-Nodes Positive Betweenness Centrality,160,,,,,,,,,"if: to-time: $\tilde{O}(T(n,m,M))$ for $n$-node $m$-edge graph with integer weights in $[-M,M]$
then: from-time: $\tilde{O}(T(n,m,M))$ for $n$-node $m$-edge graph with integer weights in $[-M,M]$",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 4.4",2015,,,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",Vertex Centrality,Directed All-Nodes Positive Betweenness Centrality,161,,,,,,,APSP Hypothesis,,"if: to-time: Truly subcubic
then: from-time: Truly subcubic",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Corollary 4.1",2015,,,,
,All-Pairs Shortest Paths (APSP),"Undirected, Weighted APSP",Vertex Centrality,Undirected All-Nodes Positive Betweenness Centrality,162,,,,,,,APSP Hypothesis,,"if: to-time: Truly subcubic
then: from-time: Truly subcubic",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Corollary 4.1",2015,,,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",Vertex Centrality,Directed All-Nodes Reach Centrality,163,,,,,,,APSP Hypothesis,,"if: to-time: Truly subcubic
then: from-time: Truly subcubic",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Corollary 4.1",2015,,,,
,All-Pairs Shortest Paths (APSP),"Undirected, Weighted APSP",Vertex Centrality,Undirected All-Nodes Reach Centrality,164,,,,,,,APSP Hypothesis,,"if: to-time: Truly subcubic
then: from-time: Truly subcubic",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Corollary 4.1",2015,,,,
$\alpha$-approximation with $\alpha > 1$,Graph Metrics,Diameter,Vertex Centrality,Approximate Betweenness Centrality,165,Subcubic Monte-Carlo equivalence,,,,,,APSP Hypothesis,,,3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Theorem 4.2",2015,,,,
$\alpha$-approximation with $\alpha > 1$,Vertex Centrality,Approximate Betweenness Centrality,Graph Metrics,Diameter,166,Subcubic Monte-Carlo equivalence,,,,,,APSP Hypothesis,,,3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Theorem 4.2",2015,,,,
,Vertex Centrality,Betweenness Centrality (BC),Graph Metrics,Diameter,167,,,,,,,APSP Hypothesis,,"if: to-time: Truly subcubic
then: from-time: Truly subcubic Monte-Carlo PTAS",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 4.10",2015,,,,
"Positive Betweenness Centrality in directed or undirected graphs with weights in $\{1, 2\}$",Boolean Satisfiability,CNF-SAT,Vertex Centrality,Positive Betweenness Centrality,168,,,,,,,SETH,,"if: to-time: $O(m^{2-\epsilon})$ for some $\epsilon > 0$
then: from-time: $O*(2^{(1-\delta)n})$ for some $\delta > 0$",2,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Theorem 4.3",2015,,,,
$\alpha$-approximation for any finite $\alpha$ (possibly depending on $m$),Boolean Satisfiability,CNF-SAT,Vertex Centrality,Approximate Betweenness Centrality,169,,,,,,,SETH,,"if: to-time: $O(m^{2-\epsilon})$ for some $\epsilon > 0$
then: from-time: $O*(2^{(1-\delta)n})$ for some $\delta > 0$",2,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Corollary 4.2",2015,,,,
$\alpha$-approximation for any finite $\alpha$ (possibly depending on $m$),Boolean Satisfiability,CNF-SAT,Vertex Centrality,Approximate Reach Centrality,170,,,,,,,SETH,,"if: to-time: $O(m^{2-\epsilon})$ for some $\epsilon > 0$
then: from-time: $O*(2^{(1-\delta)n})$ for some $\delta > 0$",2,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Corollary 4.2",2015,,,,
"$(2-\epsilon)$-approximation in undirected, unweighted graphs for some constant $\epsilon > 0$",Boolean Satisfiability,CNF-SAT,Vertex Centrality,Approximate Reach Centrality,171,,,,,,,SETH,,"if: to-time: $O(m^{2-\epsilon})$
then: from-time: $O*(2^{(1-\epsilon/2)n})$",2,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Theorem 4.4",2015,,,,
,Clique,Min-Weight k-Clique,Graph Cycles,Min-Weight k-Cycle,172,,,,,,,Min-Weight k-Clique Hypothesis,,"if: to-time: $O(nm^{\lceil k/2 \rceil / \lambda - \epsilon})$ for any $\epsilon > 0$ for $m = \Theta(n^{1+1/(\lambda - 1)}) edges and $n$ nodes where $\lambda = k - \lceil k/2 \rceil + 1$
then: from-time: $O(n^{k - \epsilon})$ for some $\epsilon > 0$",,"Andrea Lincoln, Virginia Vassilevska Williams, and R. Ryan Williams. Tight hardness for shortest cycles and paths in sparse graphs. In Proc. SODA, page to appear, 2018.","https://arxiv.org/pdf/1712.08147v2.pdf, Corollary 4.2",2018,,Not sure this from-time is correct,,
,Graph Cycles,Min-Weight k-Cycle,Wiener Index,Undirected Wiener Index,173,,,,,,,Min-Weight k-Clique Hypothesis,,"if: to-time: $f(N,M)$ for N nodes, M edges
then: from-time: $\tilde{O}(f(N,M)+M)$",3,"Andrea Lincoln, Virginia Vassilevska Williams, and R. Ryan Williams. Tight hardness for shortest cycles and paths in sparse graphs. In Proc. SODA, page to appear, 2018.","https://arxiv.org/pdf/1712.08147v2.pdf, Theorem B.2",2018,,,,
,Boolean Satisfiability,CNF-SAT,Vertex Centrality,#SSR,174,,,,,,,SETH,,"if: to-time: $O(m^{1-\epsilon})$ amrotized update and query times on sparse graphs, for any $\epsilon > 0$, even after arbitrarily long polynomial time preprocessing
then: SETH is false",1,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"#SSR: Single Source Reachability Count (#SSR), maintain: a directed graph with a fixed source $s$, under: edge insertions/delitions, answer: given $l$ is the number of nodes reachable from $s<l$",,
,Boolean Satisfiability,CNF-SAT,Strongly Connected Components,SC2,175,,,,,,,SETH,,"if: to-time: $O(m^{1-\epsilon})$ amrotized update and query times on sparse graphs, for any $\epsilon > 0$, even after arbitrarily long polynomial time preprocessing
then: SETH is false",1,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"SC2: 2 Strong Components, maintain: a directed graph, under: edge insertion/deletions, answer: are there more than 2 strongly connected components?",,
,Boolean Satisfiability,CNF-SAT,Strongly Connected Components,Dynamic MaxSCC,176,,,,,,,SETH,,"if: to-time: $O(m^{1-\epsilon})$ amrotized update and query times on sparse graphs, for any $\epsilon > 0$, even after arbitrarily long polynomial time preprocessing
then: SETH is false",1,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"MaxSCC: Maximum Strongly Connected Component, maintain: a directed graph, under: edge insertions/deletions, answer: what is the size of the largest SCC?",,
,Boolean Satisfiability,CNF-SAT,Strongly Connected Components,Dynamic Connected Subgraph,177,,,,,,,SETH,,"if: to-time: $O(m^{1-\epsilon})$ amrotized update and query times on sparse graphs, for any $\epsilon > 0$, even after arbitrarily long polynomial time preprocessing
then: SETH is false",1,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"ConnSub: Connected Subgraph, maintain: a fixed undirected graph and a vertex subset $S$, under: insert/remove a node into/from $S$, answer: is the subgraph induced by $S$ connected?",,
,Boolean Satisfiability,CNF-SAT,Graph Metrics,Dynamic 4/3-Diameter,178,,,,,,,SETH,,"if: to-time: $O(m^{2-\epsilon})$ amrotized update and query times, for any $\epsilon > 0$, even after arbitrarily long polynomial time preprocessing
then: SETH is false",2,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"4/3-Diameter: $(4/3-\epsilon)$-Approximate Diameter, maintain: an undeirected graph, under: edge insertions/deletions, answer: is the diameter 3 or 4?",,
,Boolean Satisfiability,CNF-SAT,Vertex Reachability,Dynamic ST-Reach,179,,,,,,,SETH,,"if: to-time: $O(m^{2-\epsilon})$ amrotized update and query times, for any $\epsilon > 0$, even after arbitrarily long polynomial time preprocessing
then: SETH is false",2,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"ST-Reach: $(S,T)$-Reacability, maintain: a directed graph and fixed node subsets $S$ and $T$, under: edge insertions/deletions, answer is the diameter 3 or 4?",,
,Graph Triangle Problems,Triangle Detection,Vertex Reachability,Dynamic ST-Reach,180,,,,,,,Strong Triangle,,"assume: SETH
then: for any fixed constants $\epsilon > 0$, $c_1,c_2 \in [0,1]$, on graphs with $n$ nodes $|S|=\tilde{\Theta}(n^{c_1})$, $|T|=\tilde{\Theta(n^{c_2})}$, $m=O(n)$ edges, and capacaties in $\{1,\cdots,n\}$, target cannot be solved in $O((|S||T|m)^{1-\epsilon})$",,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"$s,t$-Reach: $(s,t)$-Reachability, maintain: a directed graph and fixed vertices $s,t$, under: edge insertions/deletions, answer: is $t$ reachable from $s$? ",,
,Graph Triangle Problems,Triangle Detection,Strongly Connected Components,Dynamic Strong Connectivity,181,,,,,,,Strong Triangle,,"let $\gamma = (w-1)/(w+1) \in [1/3,0.408]$
if: to-time: $O(m^{2\gamma-\epsilon})$ update and query times even after O(m^{1+\gamma-\epsilon}) preprocessing time for any $\epsilon > 0$
then: Strong Triangle is false",,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"strong connectivity, maintain: a directed graph, under edge insertions/deletions, answer: is the graph strongly connected?",,
,Graph Triangle Problems,Triangle Detection,Maximum-Weight Matching,Dynamic Bipartite Maximum-Weight Matching,182,,,,,,,Strong Triangle,,"let $\gamma = (w-1)/(w+1) \in [1/3,0.408]$
if: to-time: $O(m^{2\gamma-\epsilon})$ update and query times even after O(m^{1+\gamma-\epsilon}) preprocessing time for any $\epsilon > 0$
then: Strong Triangle is false",,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"bipartite matching: Bipartite Perfect Matching, maintain: an undirected bipartite graph, under: edge insertions/deletions, answer: does the graph have a perfect matching",,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP","Shortest Path
(Directed graphs)",Dynamic $st$-Shortest Path,183,,,,,,,APSP Hypothesis,,"if: to-time: amortized $O(n^{2-\epsilon})$ update and query times in decremental or incremental graphs
then: APSP Hypothesis is false",2,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"$st$-SP: $(s,t)$-shortest path: maintain an undirected weighted graph and fixed vertices $s,t$, under: edge insertions/deletions, answer: what is the distance between $s$ and $t$",,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",Maximum-Weight Matching,Dynamic Bipartite Maximum-Weight Matching,184,,,,,,,APSP Hypothesis,,"if: to-time: amortized $O(n^{2-\epsilon})$ update and query times in decremental or incremental graphs
then: APSP Hypothesis is false",2,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"BWMatch: Bipartite Maximum Weight Matching, maintain: an undirected bipartite graph with integer edge weights, under: edge insertions/deletions, answer: what is the weight of the maximum weight matching",,
,Boolean Satisfiability,MAX-CNF-SAT,Maximum Flow,st-Maximum Flow,185,,,,,,,SETH,,"assume: SETH
then: for any fixed constants $\epsilon > 0$, $c_1,c_2 \in [0,1]$, on graphs with $n$ nodes $|S|=\tilde{\Theta}(n^{c_1})$, $|T|=\tilde{\Theta(n^{c_2})}$, $m=O(n)$ edges, and capacaties in $\{1,\cdots,n\}$, target cannot be solved in $O((|S||T|m)^{1-\epsilon})$",,"Krauthgamer, R., & Trabelsi, O. (2018). Conditional lower bounds for all-pairs max-flow. ACM Transactions on Algorithms (TALG), 14(4), 1-15.",https://dl.acm.org/doi/abs/10.1145/3212510,2018,,,,
,Boolean Satisfiability,MAX-CNF-SAT,Maximum Flow,All-Pairs Maximum Flow,186,,,,,,,SETH,,"assume: SETH
then: for any fixed $\epsilon > 0$, in graphs with $n$ nodes, $m=O(n)$ edges, and capacities in $\{1,\cdots,n\}$ target cannot be solved in time $O((n^{2}m)^{1-\epsilon})$",3,"Krauthgamer, R., & Trabelsi, O. (2018). Conditional lower bounds for all-pairs max-flow. ACM Transactions on Algorithms (TALG), 14(4), 1-15.",https://dl.acm.org/doi/abs/10.1145/3212510,2018,,,,
,Boolean Satisfiability,MAX-CNF-SAT,Maximum Flow,All-Pairs Maximum Flow,187,,,,,,,SETH,,"assume: SETH
then: for any fixed constants $\epsilon > 0$, $c_1,c_2 \in [0,1]$, on graphs with $n$ nodes $|S|=\tilde{\Theta}(n^{c_1})$, $|T|=\tilde{\Theta(n^{c_2})}$, $m=O(n)$ edges, and capacaties in $\{1,\cdots,n\}$, target cannot be solved in $O((|S||T|m)^{1-\epsilon})$",,"Krauthgamer, R., & Trabelsi, O. (2018). Conditional lower bounds for all-pairs max-flow. ACM Transactions on Algorithms (TALG), 14(4), 1-15.",https://dl.acm.org/doi/abs/10.1145/3212510,2018,,,,
,Boolean Satisfiability,MAX-CNF-SAT,Maximum Flow,st-Maximum Flow,188,,,,,,,SETH,,"assume: SETH
then: for any fixed $\epsilon > 0$, in graphs with $n$ nodes, $m=O(n)$ edges, and capacities in $\{1,\cdots,n\}$ target cannot be solved in time $O((n^{2}m)^{1-\epsilon})$",3,"Krauthgamer, R., & Trabelsi, O. (2018). Conditional lower bounds for all-pairs max-flow. ACM Transactions on Algorithms (TALG), 14(4), 1-15.",https://dl.acm.org/doi/abs/10.1145/3212510,2018,,,,
,Boolean Satisfiability,MAX-CNF-SAT,Maximum Flow,Maximum Local Edge Connectivity,189,,,,,,,SETH,,"assume: SETH
then: for any $\epsilon > 0$, in graphs with $n$ nodes and $\tilde{O}(n)$ edges, target cannot be solved in time $O(n^{2-\epsilon})$",2,"Krauthgamer, R., & Trabelsi, O. (2018). Conditional lower bounds for all-pairs max-flow. ACM Transactions on Algorithms (TALG), 14(4), 1-15.",https://dl.acm.org/doi/abs/10.1145/3212510,2018,,,,
,Matrix-Vector Multiplication,OuMv,Dynamic Maximum Cardinality Matching,Bipartite Graph MCM,190,,,,,,,OMv Conjecture,,"assume: OMv
then: there is no algorithm for solving incremental (or decremental) maximum cardinality bipartite matching with amortized time $O(n^{1-\epsilon})$ per insertion (or deletion) and $O(n^{2-\epsilon})$ time per query for any $\epsilon > 0$",2,"Dahlgaard, S. (2016). On the hardness of partially dynamic graph problems and connections to diameter. arXiv preprint arXiv:1602.06705.",https://arxiv.org/abs/1602.06705,2016,,,,
,Boolean Satisfiability,CNF-SAT,Maximum Flow,dynamic st-Maximum Flow,191,,,,,,,SETH,,"assume: SETH
then: there is no algorithm for solving incremental (or decremental) st-max-flow on a weighted and directed graph with $n$ nodes and $\tilde{O}(n)$ edges with amortized time $O(m^{1-\epsilon})$ per operation for any $\epsilon > 0$",1,"Dahlgaard, S. (2016). On the hardness of partially dynamic graph problems and connections to diameter. arXiv preprint arXiv:1602.06705.",https://arxiv.org/abs/1602.06705,2016,,,,
,Matrix-Vector Multiplication,OuMv,Maximum Flow,dynamic st-Maximum Flow,192,,,,,,,OMv Conjecture,,"assume: OMv
then: there is no algorithm for solving incremental (or decremental) st-max-flow on unweifghted directed graphs or weighted undirected graphs on $n$ nodes with amortized time $O(n^{1-\epsilon})$ per operation for any $\epsilon > 0$",1,"Dahlgaard, S. (2016). On the hardness of partially dynamic graph problems and connections to diameter. arXiv preprint arXiv:1602.06705.",https://arxiv.org/abs/1602.06705,2016,,,,
,Graph Triangle Problems,Triangle Collection*,Graph Metrics,dynamic 4/3-Diameter,193,,,,,,,SETH or 3SUM Hypothesis or APSP Hypothesis,,"assume: SETH or 3SUM Hypothesis or APSP Hypothesis
then: there exists no incremental (or decremental) algorithm that approximates the diameter of unweighted graph within a factor of $4/3-\epsilon$ running in amortized time $O(n^{1/2-\epsilon'})$ for any $\epsilon,\epsilon' > 0$. Furthermore, if we allow node insertions in the incremental case the bound is $O(n^{0.618-\epsilon'})$",0.5,"Dahlgaard, S. (2016). On the hardness of partially dynamic graph problems and connections to diameter. arXiv preprint arXiv:1602.06705.",https://arxiv.org/abs/1602.06705,2016,,,,
,Graph Triangle Problems,Triangle Collection*,Graph Metrics,dynamic 4/3-Diameter,194,,,,,,,SETH or 3SUM Hypothesis or APSP Hypothesis,,"assume: SETH or 3SUM Hypothesis or APSP Hypothesis
then: there exists no static $4/3-\epsilon$ approximation to the diameter on unweighted graphs running in $O((n\sqrt{m})^{1-\epsilon'})$ time for any $\epsilon,\epsilon' > 0$ and an number of edges $m$",0.5,"Dahlgaard, S. (2016). On the hardness of partially dynamic graph problems and connections to diameter. arXiv preprint arXiv:1602.06705.",https://arxiv.org/abs/1602.06705,2016,,,,
